longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool
4.3550895,50.8442607,Rent,1900,Appartment,Penthouse,37194,1000,1960,Excellent,91,2,1,True,10,False,,Brussels,saint jean,4,,,,,,
4.3970567,50.8472356,Rent,1000,Appartment,FlatStudio,46371,1030,2024,New,44,1,,False,8,False,Immediately,Brussels,avenue de roodebeek,17,,,,,,
4.3515499,50.8427501,Rent,2550,Appartment,Flat,37194,1000,2024,Excellent,146,3,1,True,8,False,,Brussels,,,,,,,,
4.3759148,50.8457187,Rent,1085,Appartment,Flat,37194,1040,1901,Normal,45,1,1,False,,True,Immediately,Brussels,rue philippe le bon,12,,,,,,
4.34986,50.85581,Rent,1540,Appartment,Flat,28126,1000,,New,80,2,,True,5,False,From 01/07/2026,Brussels,quai au foin,37,,,,,,
4.38713892,50.87515645,Rent,1600,Appartment,Flat,27443,1030,,Fully renovated,139,3,1,False,,False,From 01/07/2026,Brussels,rue fernand séverin,7,,,,,,
4.423892,50.842365,Rent,1815,Appartment,Flat,29033,1200,1942,Fully renovated,116,3,1,True,3,False,Immediately,Brussels,,,,,,,,
4.3333333,50.8,Rent,12000,Appartment,Penthouse,27209,1180,2004,Excellent,568,5,6,True,250,False,,Brussels,,,,,,,,
4.3766927,50.8235717,Rent,2000,Appartment,Loft,39905,1050,2003,Excellent,170,3,1,False,10,False,,Brussels,,,,,38568,,,
4.4406758,50.8518484,Rent,1650,Appartment,Flat,43157,1200,2025,New,106,2,2,True,7,False,Immediately,Brussels,rue neerveld,103,,,,,,
4.3620476,50.8216247,Rent,1850,Appartment,Flat,43157,1050,2019,Normal,91,2,2,True,4,False,,Brussels,rue de tenbosch,83,,,11350,,,
4.3515499,50.8427501,Rent,2100,Appartment,Penthouse,47643,1000,2017,Excellent,100,2,2,True,,True,Immediately,Brussels,,,,,,,,
4.33307,50.80677,Rent,4000,House,House,33267,1180,,Excellent,261,5,1,,,,From 31/08/2026,Brussels,rue joseph bens,78,1,,,,,
4.4607422,50.8408667,Rent,1500,Appartment,Flat,27612,1150,2006,Excellent,90,2,1,True,9,False,,Brussels,rue de l'eglise,43,,,,,,
4.38713892,50.87515645,Rent,1600,Appartment,Triplex,27443,1030,,Fully renovated,139,3,1,False,,False,From 01/07/2026,Brussels,rue fernand séverin,7,,,,,,
4.3333333,50.8,Rent,4000,House,House,43157,1180,1930,Normal,261,5,3,False,15,False,,Brussels,,,1,215,21593,100,,
4.3851351,50.8156501,Rent,690,Appartment,FlatStudio,48204,1050,,Excellent,23,0,1,True,,False,Immediately,Brussels,square des latins,49,,,16952,,,
4.4077782,50.8159937,Rent,770,Appartment,FlatStudio,40213,1160,2015,New,33,,,False,,True,From 03/06/2026,Brussels,rue maurice charlent,53,,,,,,
4.374143,50.8365327,Rent,2500,House,Villa,43099,1050,,Normal,140,3,2,False,15,False,,Brussels,rue wiertz,27,1,,,60,,
4.4115802,50.8299608,Rent,1550,Appartment,Flat,43157,1150,,Excellent,104,2,1,True,8,False,,Brussels,avenue des volontaires,325,1,,19477,,,
